along_track_km,latitude,longitude,surface_elevation_m,bed_elevation_m,ice_thickness_m
0.000,60.440367,-141.330939,1820.01,814.83,1005.18
0.192,60.439904,-141.327559,1823.83,812.79,1011.05
0.443,60.439319,-141.323152,1827.45,801.69,1025.76
0.693,60.438739,-141.318746,1829.51,786.61,1042.90
0.944,60.438154,-141.314328,1830.36,774.68,1055.67
1.195,60.437565,-141.309913,1831.54,772.68,1058.86
1.445,60.436959,-141.305523,1832.06,780.16,1051.89
1.695,60.436362,-141.301131,1833.39,789.69,1043.70
1.905,60.435882,-141.297427,1835.55,797.66,1037.88
2.030,60.435609,-141.295217,1837.50,801.82,1035.68
2.196,60.435245,-141.292280,1840.21,806.28,1033.94
2.447,60.434693,-141.287845,1844.18,813.94,1030.24
2.697,60.434145,-141.283430,1847.39,825.85,1021.54
2.947,60.433622,-141.278998,1849.42,842.44,1006.98
3.197,60.433098,-141.274560,1850.73,866.84,983.89
3.448,60.432558,-141.270123,1851.88,907.62,944.26
3.698,60.432037,-141.265682,1854.41,959.40,895.02
3.948,60.431506,-141.261266,1859.24,1009.23,850.01
4.198,60.430972,-141.256831,1865.53,1032.34,833.19
4.449,60.430410,-141.252402,1871.30,1047.53,823.77
4.699,60.429815,-141.248019,1874.37,1075.91,798.46
4.950,60.429202,-141.243616,1874.99,1101.70,773.29
5.200,60.428583,-141.239223,1874.99,1127.75,747.24
5.452,60.427980,-141.234808,1876.66,1159.77,716.89
5.702,60.427400,-141.230395,1879.75,1193.93,685.82
5.908,60.426914,-141.226785,1883.33,1216.73,666.60
6.034,60.426589,-141.224581,1885.73,1225.87,659.86
6.205,60.426119,-141.221621,1889.14,1232.52,656.62
6.456,60.425418,-141.217276,1891.46,1234.14,657.32
6.707,60.424743,-141.212903,1892.01,1230.25,661.76
6.958,60.424111,-141.208516,1892.79,1228.11,664.68
7.209,60.423461,-141.204132,1897.96,1231.30,666.66
7.460,60.422847,-141.199727,1905.95,1234.63,671.32
7.710,60.422321,-141.195300,1912.42,1230.96,681.46
7.960,60.421871,-141.190832,1916.30,1225.08,691.22
8.211,60.421500,-141.186337,1918.45,1217.59,700.86
8.461,60.421027,-141.181877,1920.48,1208.60,711.88
8.712,60.420389,-141.177489,1923.05,1193.79,729.25
8.963,60.419686,-141.173138,1928.29,1173.89,754.40
9.142,60.419189,-141.170037,1933.24,1162.08,771.16
9.268,60.418889,-141.167833,1936.41,1154.14,782.26
9.465,60.418474,-141.164334,1941.00,1139.83,801.18
9.716,60.417998,-141.159878,1945.48,1119.08,826.40
9.965,60.417531,-141.155426,1949.50,1097.57,851.94
10.215,60.417033,-141.150989,1952.42,1074.26,878.16
10.465,60.416554,-141.146551,1953.77,1046.57,907.20
10.715,60.416070,-141.142097,1954.59,1017.03,937.56
10.966,60.415557,-141.137640,1955.72,993.46,962.26
11.215,60.415018,-141.133243,1957.82,974.37,983.46
11.466,60.414455,-141.128810,1960.44,952.29,1008.15
11.717,60.413855,-141.124411,1963.54,931.68,1031.86
11.967,60.413240,-141.120028,1966.30,917.85,1048.45
12.217,60.412761,-141.115579,1969.24,901.65,1067.59
12.467,60.412331,-141.111099,1971.59,885.42,1086.17
12.717,60.411833,-141.106665,1973.52,873.38,1100.14
12.968,60.411357,-141.102207,1975.08,863.17,1111.91
13.217,60.410863,-141.097777,1976.83,856.75,1120.08
13.467,60.410323,-141.093363,1979.71,853.42,1126.29
13.717,60.409795,-141.088927,1983.92,852.52,1131.40
13.968,60.409262,-141.084481,1988.56,854.01,1134.55
14.218,60.408746,-141.080052,1993.15,854.96,1138.19
14.467,60.408267,-141.075619,1997.00,857.70,1139.30
14.718,60.407809,-141.071151,1999.03,857.14,1141.90
14.968,60.407355,-141.066691,1999.57,841.53,1158.04
15.218,60.406859,-141.062244,1999.56,816.65,1182.91
15.468,60.406390,-141.057790,1999.96,807.72,1192.24
15.718,60.405897,-141.053354,2000.20,815.73,1184.46
15.968,60.405352,-141.048945,2001.25,832.67,1168.58
16.218,60.404874,-141.044495,2003.24,856.76,1146.47
16.467,60.404385,-141.040059,2005.85,886.36,1119.50
16.717,60.403918,-141.035608,2009.34,917.79,1091.55
16.969,60.403648,-141.031066,2013.57,950.37,1063.19
17.221,60.403516,-141.026478,2017.07,985.97,1031.11
17.473,60.403286,-141.021921,2019.67,1024.59,995.08
17.726,60.402964,-141.017359,2022.21,1057.07,965.14
17.972,60.402659,-141.012922,2024.35,1081.56,942.79
18.223,60.402333,-141.008384,2026.23,1108.83,917.41
18.473,60.402066,-141.003868,2027.56,1144.37,883.19
